account_id,trustline_status,balance,traded_in,trades_total,trades_as_base,trades_as_counter,snapshot_min_ledger,snapshot_max_ledger,methodology_version
GAUUNG3AOJOEGHVKCT2RY6MJNSUXANY22R76Z742AXK4CKLXENYT2XW3,holds a non-zero balance,0.6052605,2026-08,2,0,2,64211133,64211152,1.0.5-draft
GAVAU44U7NUYWO7B5ZWNAGDGFZT2JGHCMAYI4FPABE4NQW6GZBF4I4CV,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GAVF57JGQXIXWKZHCQ7T42NL7NLGGVMODLNKBC3P2FRZGUTBFI5TDUOT,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAVF6ZLXBIG2K56IRKHENYBO3BDOW27VVNFV3BUHPP233YHHS4TRW4JJ,no trustline at pull,,2026-02,65,0,65,64211133,64211152,1.0.5-draft
GAVKXUSKJGXROYGKS7SFVPUFR33AMPWFLKPB2SZUO2HQURPFUWIHGY2H,holds a non-zero balance,4.6907962,2026-08,13,6,7,64211133,64211152,1.0.5-draft
GAVYIUWQFQX2GJ7FWNGVXSSLMJO75V5XY5M2YON4DKYD24LPB6QLCERP,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAWMUUCFS3G3CFDFUBZA7LQOUL3XD3BDH336QZ7CRPLKVGK5UW23MQUB,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GAWRJYZOSXAXZMZLVBQ2WKJNNVEZPMY5J2RVBKWSGFHSQUL4WWQNKE2D,no trustline at pull,,2026-02 + 2026-08,9,7,2,64211133,64211152,1.0.5-draft
GAXDWGRZJDDXPAUWHSR5QPE3EE5CHNPTTWEJDYJTOYYHH77RKZH7I74T,no trustline at pull,,2026-02 + 2026-08,13,8,5,64211133,64211152,1.0.5-draft
GAXIBCI7MZBDLCN2427HWPDQW46TN2R462FRV66S4AOJC2SGVYGBXMV6,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
