counter,id,ledger_close_time,base_amount,counter_amount,base_is_seller,price_n,price_d,trade_type
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276236752992595972-1,2026-09-07T12:46:47Z,0.0009844,1.0000000,False,10000000,9844,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276224138673299458-1,2026-09-07T08:14:19Z,0.0009818,1.0000000,False,10000000,9818,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276222880248053762-0,2026-09-07T07:47:08Z,0.0009758,1.0000000,True,10000000,9758,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276221999779782658-0,2026-09-07T07:28:00Z,0.0009784,1.0000000,True,10000000,9784,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276221166556270594-1,2026-09-07T07:09:56Z,0.0009844,1.0000000,False,10000000,9844,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276220329037447170-1,2026-09-07T06:51:48Z,0.0009817,1.0000000,False,10000000,9817,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276218821503680514-0,2026-09-07T06:19:17Z,0.0009758,1.0000000,True,10000000,9758,liquidity_pool
PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5,276260946543411203-1,2026-09-07T21:32:15Z,0.0011026,0.0012543,True,12543,11026,liquidity_pool
PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5,276260710320365571-1,2026-09-07T21:27:06Z,0.0011002,0.0012501,True,12501,11002,liquidity_pool
PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5,276241580535656449-1,2026-09-07T14:31:37Z,0.0016961,0.0019161,False,19161,16961,liquidity_pool
PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5,276241580535599105-1,2026-09-07T14:31:37Z,0.0010607,0.0012000,False,12000,10607,liquidity_pool
PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5,276222266068787201-1,2026-09-07T07:33:48Z,0.0010428,0.0011811,False,11811,10428,liquidity_pool
