open_at,close_at,open_ledger,close_ledger,seconds
2026-02-06T12:12:48Z,2026-02-06T12:13:16Z,61109155,61109160,28.0
2026-02-06T13:12:48Z,2026-02-06T13:13:16Z,61109785,61109790,28.0
2026-02-06T14:12:48Z,2026-02-06T14:13:17Z,61110405,61110410,29.0
2026-02-06T15:12:57Z,2026-02-06T15:13:15Z,61111029,61111032,18.0
2026-02-06T16:12:47Z,2026-02-06T16:13:15Z,61111641,61111646,28.0
2026-02-06T17:12:49Z,2026-02-06T17:13:18Z,61112255,61112260,29.0
2026-02-06T18:12:48Z,2026-02-06T18:13:17Z,61112875,61112880,29.0
2026-02-06T19:12:45Z,2026-02-06T19:13:19Z,61113493,61113499,34.0
2026-02-06T20:12:50Z,2026-02-06T20:13:17Z,61114115,61114120,27.0
2026-02-06T21:12:49Z,2026-02-06T21:13:16Z,61114737,61114742,27.0
2026-02-06T22:12:45Z,2026-02-06T22:13:15Z,61115362,61115367,30.0
2026-02-06T23:12:44Z,2026-02-06T23:13:19Z,61115986,61115992,35.0
2026-02-07T00:12:48Z,2026-02-07T00:13:18Z,61116610,61116615,30.0
2026-02-07T01:12:47Z,2026-02-07T01:13:16Z,61117229,61117234,29.0
2026-02-07T02:12:50Z,2026-02-07T02:13:18Z,61117853,61117858,28.0
2026-02-07T03:12:48Z,2026-02-07T03:13:16Z,61118480,61118485,28.0
2026-02-07T04:12:46Z,2026-02-07T04:13:15Z,61119114,61119119,29.0
2026-02-07T05:12:49Z,2026-02-07T05:13:17Z,61119750,61119755,28.0
2026-02-07T06:12:45Z,2026-02-07T06:13:19Z,61120385,61120391,34.0
2026-02-07T07:12:46Z,2026-02-07T07:13:14Z,61121020,61121025,28.0
2026-02-07T08:12:44Z,2026-02-07T08:13:18Z,61121654,61121660,34.0
2026-02-07T09:12:45Z,2026-02-07T09:13:18Z,61122294,61122300,33.0
2026-02-07T10:12:46Z,2026-02-07T10:13:15Z,61122942,61122947,29.0
2026-02-07T11:12:49Z,2026-02-07T11:13:16Z,61123592,61123597,27.0
2026-02-07T12:12:48Z,2026-02-07T12:13:15Z,61124244,61124249,27.0
2026-02-07T13:12:47Z,2026-02-07T13:13:14Z,61124893,61124898,27.0
2026-02-07T14:12:44Z,2026-02-07T14:13:18Z,61125540,61125546,34.0
2026-02-07T15:12:45Z,2026-02-07T15:13:18Z,61126191,61126197,33.0
2026-02-07T16:12:44Z,2026-02-07T16:13:18Z,61126841,61126847,34.0
2026-02-07T17:12:45Z,2026-02-07T17:13:18Z,61127490,61127496,33.0
2026-02-07T18:12:44Z,2026-02-07T18:13:18Z,61128139,61128145,34.0
2026-02-07T19:12:46Z,2026-02-07T19:13:15Z,61128785,61128790,29.0
2026-02-07T20:12:47Z,2026-02-07T20:13:16Z,61129419,61129424,29.0
2026-02-07T21:12:44Z,2026-02-07T21:13:17Z,61130064,61130070,33.0
2026-02-07T22:12:47Z,2026-02-07T22:13:15Z,61130703,61130708,28.0
2026-02-07T23:12:44Z,2026-02-07T23:13:18Z,61131348,61131354,34.0
2026-02-08T00:12:48Z,2026-02-08T00:13:16Z,61131979,61131984,28.0
2026-02-08T01:12:44Z,2026-02-08T01:13:17Z,61132613,61132619,33.0
2026-02-08T02:12:47Z,2026-02-08T02:13:19Z,61133256,61133262,32.0
2026-02-08T03:12:46Z,2026-02-08T03:13:14Z,61133905,61133910,28.0
2026-02-08T04:12:44Z,2026-02-08T04:13:18Z,61134558,61134564,34.0
2026-02-08T05:12:44Z,2026-02-08T05:13:16Z,61135200,61135206,32.0
